Car Name,Year,Fuel,Mileage,Transmission,Location,Price,Link
Mitsubishi triton 2019 HDX double cabin manual 4x4 sudah new model,2019,DIESEL,95.000-100.000 KM,MANUAL,"GADING SERPONG, TANGERANG KOTA",Rp 265.000.000,https://www.olx.co.id/item/mitsubishi-triton-2019-hdx-double-cabin-manual-4x4-sudah-new-model-iid-932155183
Mitsubishi Kuda 2.5 Diesel Th 2000,2000,DIESEL,105.000-110.000 KM,MANUAL,"CIKARANG BARAT, BEKASI KAB.",Rp 50.000.000,https://www.olx.co.id/item/mitsubishi-kuda-25-diesel-th-2000-iid-931600610
[LOW KM] Mazda CX3 CX-3 2.0 Touring Skyactive AT I-Stop Abu 2019/2020,2019,BENSIN,30.000-35.000 KM,AUTOMATIC,"CIPAYUNG, DEPOK KOTA",Rp 243.000.000,https://www.olx.co.id/item/low-km-mazda-cx3-cx-3-20-touring-skyactive-at-i-stop-abu-20192020-iid-932400137
BMW 430i Coupe Sport 2022,2022,BENSIN,5.000-10.000 KM,AUTOMATIC,"CIBINONG, BOGOR KAB.",Rp 1.300.000.000,https://www.olx.co.id/item/bmw-430i-coupe-sport-2022-iid-932381821
Jual mercy cla 200,2014,BENSIN,75.000-80.000 KM,AUTOMATIC,"BEKASI SELATAN, BEKASI KOTA",Rp 305.000.000,https://www.olx.co.id/item/jual-mercy-cla-200-iid-932399956
Chevrolet Trax 2018 Bensin,2018,BENSIN,90000 KM,OTOMATIS,"PONDOK MELATI, BEKASI KOTA",Rp 168.000.000,https://www.olx.co.id/item/chevrolet-trax-2018-bensin-iid-932399881
Toyota Voxy Matic Tahun 2018 Kondisi Mulus Terawat Istimewa,2018,BENSIN,40.000-45.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 310.000.000,https://www.olx.co.id/item/toyota-voxy-matic-tahun-2018-kondisi-mulus-terawat-istimewa-iid-932399745
Agya G TRDs 1.2 matic 2017,2017,BENSIN,85.000-90.000 KM,AUTOMATIC,"BOGOR TIMUR - KOTA, BOGOR KOTA",Rp 117.000.000,https://www.olx.co.id/item/agya-g-trds-12-matic-2017-iid-932399692
(TDP 1 JT) Nissan Serena 2.0 HWS AT 2017 ISTIMEWA,2017,BENSIN,90000 KM,OTOMATIS,"CIKARANG BARAT, BEKASI KAB.",Rp 169.000.000,https://www.olx.co.id/item/tdp-1-jt-nissan-serena-20-hws-at-2017-istimewa-iid-932399615
Mobilio E CVT 2017,2017,BENSIN,90.000-95.000 KM,AUTOMATIC,"CIKARANG PUSAT, BEKASI KAB.",Rp 140.000.000,https://www.olx.co.id/item/mobilio-e-cvt-2017-iid-930417257
2017 Mercedes-Benz E300 AMG line low km,2017,BENSIN,30.000-35.000 KM,AUTOMATIC,"JATI SAMPURNA, BEKASI KOTA",Rp 595.000.000,https://www.olx.co.id/item/2017-mercedes-benz-e300-amg-line-low-km-iid-932399564
DIJUAL CEPAT TOYOTA CAMRY PLAT F BOGOR TAHUN 2016,2016,BENSIN,95.000-100.000 KM,AUTOMATIC,"BOGOR SELATAN - KOTA, BOGOR KOTA",Rp 240.000.000,https://www.olx.co.id/item/dijual-cepat-toyota-camry-plat-f-bogor-tahun-2016-iid-932399374
Mercedes Benz GLA 200 Urban Facelift Tahun 2016,2016,BENSIN,70.000-75.000 KM,AUTOMATIC,"PONDOK GEDE, BEKASI KOTA",Rp 289.000.000,https://www.olx.co.id/item/mercedes-benz-gla-200-urban-facelift-tahun-2016-iid-932399361
Mitsibishi Pajero Dakar Matic Tahun 2017 Kondisi Mulus Terawat,2017,DIESEL,95.000-100.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 385.000.000,https://www.olx.co.id/item/mitsibishi-pajero-dakar-matic-tahun-2017-kondisi-mulus-terawat-iid-932399311
Jual Honda CR-V 2.0 Matic 2014,2014,BENSIN,115.000-120.000 KM,AUTOMATIC,"BANDUNG KAB., JAWA BARAT",Rp 157.000.000,https://www.olx.co.id/item/jual-honda-cr-v-20-matic-2014-iid-932399231
Innova G luxury 2.0 mt 2014 TDP 35JT,2014,BENSIN,85.000-90.000 KM,MANUAL,"CIKARANG PUSAT, BEKASI KAB.",Rp 175.000.000,https://www.olx.co.id/item/innova-g-luxury-20-mt-2014-tdp-35jt-iid-931851533
DP MURAH - Wuling Almaz RS 1.5 T Pro Bensin-AT 2021,2021,BENSIN,60.000-65.000 KM,AUTOMATIC,"MUSTIKA JAYA, BEKASI KOTA",Rp 216.000.000,https://www.olx.co.id/item/dp-murah-wuling-almaz-rs-15-t-pro-bensin-at-2021-iid-931946427
TOYOTA RAIZE GR 1.0,2021,BENSIN,20.000-25.000 KM,AUTOMATIC,"DAGO, BANDUNG KAB.",Rp 203.500.000,https://www.olx.co.id/item/toyota-raize-gr-10-iid-932229357
Hyundai Palisade 2.2 CRDI Signature AT Th 2023,2023,DIESEL,55.000-60.000 KM,AUTOMATIC,"CIREBON KOTA, JAWA BARAT",Rp 760.000.000,https://www.olx.co.id/item/hyundai-palisade-22-crdi-signature-at-th-2023-iid-932167319
Mitsubishi XPANDER SPORT 1.5 AT 2018 Abu-abu Premium B2049BBR,2018,BENSIN,75.000-80.000 KM,AUTOMATIC,"KEBAYORAN LAMA, JAKARTA SELATAN",Rp 187.000.000,https://www.olx.co.id/item/mitsubishi-xpander-sport-15-at-2018-abu-abu-premium-b2049bbr-iid-932356104
Toyota Alphard 2013 Premium Sound,2013,BENSIN,140000 KM,OTOMATIS,"CINERE, DEPOK KOTA",Rp 320.000.000,https://www.olx.co.id/item/toyota-alphard-2013-premium-sound-iid-928887849
Grandmax BV 1.3 AC,2024,BENSIN,0-5.000 KM,MANUAL,"CISAAT, SUKABUMI KAB.",Rp 154.000.000,https://www.olx.co.id/item/grandmax-bv-13-ac-iid-929582734
Barang mulus terawat,2010,DIESEL,115.000-120.000 KM,MANUAL,"RANCAEKEK, BANDUNG KAB.",Rp 105.000.000,https://www.olx.co.id/item/barang-mulus-terawat-iid-932299038
Wuling Almaz 1.5 CVT L Lux Exclusive 7 Seater Hitam 2021/2022,2021,BENSIN,55.000-60.000 KM,AUTOMATIC,"PANCORAN MAS, DEPOK KOTA",Rp 195.000.000,https://www.olx.co.id/item/wuling-almaz-15-cvt-l-lux-exclusive-7-seater-hitam-20212022-iid-932398960
Hino dutro 130 HD cargo,2019,,,,"BOGOR UTARA - KOTA, BOGOR KOTA",Rp 295.000.000,https://www.olx.co.id/item/hino-dutro-130-hd-cargo-iid-932398912
Serena HWS 2.0 non panoramic,2013,BENSIN,150.000-155.000 KM,AUTOMATIC,"BEKASI UTARA, BEKASI KOTA",Rp 125.000.000,https://www.olx.co.id/item/serena-hws-20-non-panoramic-iid-932398868
Honda Mobilio cvt RS matic tahun 2015,2015,BENSIN,60.000-65.000 KM,AUTOMATIC,"TAPOS, DEPOK KOTA",Rp 142.000.000,https://www.olx.co.id/item/honda-mobilio-cvt-rs-matic-tahun-2015-iid-932398847
Toyota Raize 1.0 Turbo S GR Automatic 2024,2024,BENSIN,20000 KM,OTOMATIS,"CIKARANG PUSAT, BEKASI KAB.",Rp 245.000.000,https://www.olx.co.id/item/toyota-raize-10-turbo-s-gr-automatic-2024-iid-932042312
Toyota Camry 2000 Bensin,2000,BENSIN,999999 KM,MANUAL,"TANAH SEREAL, BOGOR KOTA",Rp 50.000.000,https://www.olx.co.id/item/toyota-camry-2000-bensin-iid-929579268
Toyota Vellfire 2012 Bensin,2012,BENSIN,90000 KM,OTOMATIS,"MUSTIKA JAYA, BEKASI KOTA",Rp 235.000.000,https://www.olx.co.id/item/toyota-vellfire-2012-bensin-iid-932398646
Sigra 1.2 R Deluxe 2017,2017,BENSIN,70.000-75.000 KM,MANUAL,"BEKASI TIMUR, BEKASI KOTA",Rp 98.000.000,https://www.olx.co.id/item/sigra-12-r-deluxe-2017-iid-932398642
