Car Name,Year,Fuel,Mileage,Transmission,Location,Price,Link
Jeep Rubicon 2.0 JL 2 doors 2023,2023,BENSIN,20000 KM,OTOMATIS,"BANTARJATI, BOGOR KAB.",Rp 1.589.000.000,https://www.olx.co.id/item/jeep-rubicon-20-jl-2-doors-2023-iid-931844963
ERTIGA GX HYBRID AT 2022 LOW KM,2022,HYBRID,10.000-15.000 KM,AUTOMATIC,"BOGOR UTARA - KOTA, BOGOR KOTA",Rp 220.000.000,https://www.olx.co.id/item/ertiga-gx-hybrid-at-2022-low-km-iid-932254177
BMW E30 tahun 1989,1989,BENSIN,125.000-130.000 KM,MANUAL,"ANTAPANI (CICADAS), BANDUNG KOTA",Rp 79.000.000,https://www.olx.co.id/item/bmw-e30-tahun-1989-iid-931453482
Katana GX 2003 Panoramic,2003,BENSIN,30.000-35.000 KM,MANUAL,"DAGO, BANDUNG KAB.",Rp 90.000.000,https://www.olx.co.id/item/katana-gx-2003-panoramic-iid-931260493
Suzuki Carry 2020 Bensin,2020,BENSIN,90000 KM,MANUAL,"SAWANGAN, DEPOK KOTA",Rp 90.000.000,https://www.olx.co.id/item/suzuki-carry-2020-bensin-iid-932396592
Suzuki ERTIGA GX 1.5 AT 2018 Abu-abu Premium Condition - B1756Q,2018,BENSIN,75.000-80.000 KM,AUTOMATIC,"KEBAYORAN LAMA, JAKARTA SELATAN",Rp 166.000.000,https://www.olx.co.id/item/suzuki-ertiga-gx-15-at-2018-abu-abu-premium-condition-b1756q-iid-932096792
[ LOW KM ] Suzuki Ertiga 1.5 Hybrid SS AT Putih Metalik 2024/2025,2024,HYBRID,5.000-10.000 KM,AUTOMATIC,"BEKASI TIMUR, BEKASI KOTA",Rp 244.000.000,https://www.olx.co.id/item/low-km-suzuki-ertiga-15-hybrid-ss-at-putih-metalik-20242025-iid-932396543
Chevrolet Captiva,2011,DIESEL,100.000-105.000 KM,AUTOMATIC,"SINGAPARNA, TASIKMALAYA KAB.",Rp 125.000.000,https://www.olx.co.id/item/chevrolet-captiva-iid-932185722
Toyota Fortuner 2012 Diesel Manual,2012,DIESEL,180000 KM,MANUAL,"JATIASIH, BEKASI KOTA",Rp 220.000.000,https://www.olx.co.id/item/toyota-fortuner-2012-diesel-manual-iid-932396502
TOYOTA KIJANG INNOVA VENTURER 2.0 AT TH 2017,2017,BENSIN,120.000-125.000 KM,MANUAL,"MEDAN SATRIA, BEKASI KOTA",Rp 263.000.000,https://www.olx.co.id/item/toyota-kijang-innova-venturer-20-at-th-2017-iid-932396430
Chery Tiggo 7 Pro 2022 Bensin,2022,BENSIN,40000 KM,OTOMATIS,"BEKASI SELATAN, BEKASI KOTA",Rp 310.000.000,https://www.olx.co.id/item/chery-tiggo-7-pro-2022-bensin-iid-932396377
Dijual mobil box,2013,,,,"CIKARANG BARAT, BEKASI KAB.",Rp 60.000.000,https://www.olx.co.id/item/dijual-mobil-box-iid-932396360
Honda City 2008 Bensin,2008,BENSIN,140000 KM,MANUAL,"BOGOR BARAT - KOTA, BOGOR KOTA",Rp 79.500.000,https://www.olx.co.id/item/honda-city-2008-bensin-iid-932396258
Low km Honda WR-V 2022/2023 RS Sensing AT km 18 rb,2023,BENSIN,15.000-20.000 KM,AUTOMATIC,"SUKMAJAYA, DEPOK KOTA",Rp 259.000.000,https://www.olx.co.id/item/low-km-honda-wr-v-20222023-rs-sensing-at-km-18-rb-iid-932396211
Toyota Avanza 2014 Bensin,2014,BENSIN,160000 KM,OTOMATIS,"BEJI, DEPOK KOTA",Rp 103.000.000,https://www.olx.co.id/item/toyota-avanza-2014-bensin-iid-932396108
"Chevrolet Captiva, diesel, 2011.",2011,DIESEL,125.000-130.000 KM,AUTOMATIC,"CISEENG, BOGOR KAB.",Rp 115.000.000,https://www.olx.co.id/item/chevrolet-captiva-diesel-2011-iid-932396089
Pajak Panjang - Toyota Calya 1.2 G Bensin-MT 2016,2016,BENSIN,65.000-70.000 KM,MANUAL,"MUSTIKA JAYA, BEKASI KOTA",Rp 96.000.000,https://www.olx.co.id/item/pajak-panjang-toyota-calya-12-g-bensin-mt-2016-iid-931982330
